Distributor,Region,City,Retailer,Store Code,Address,Latitude,Longitude,Phone,Blue Band Margarine,Lipton Yellow Label Tea,Royco Bouillon Cubes,Knorr Bouillon Cubes,OMO Detergent,Sunlight Washing Powder,Sunlight Dishwashing Liquid,Close-Up Toothpaste,Pepsodent Toothpaste,Lux Soap,Lifebuoy Soap,Rexona,Pears,Vaseline,Axe Body Spray
WHARTON BUSINESS SOLUTIONS,North East,Maiduguri,Choice Center,RET-NOR-3221,"81 Commercial Street, Maiduguri",11.816673,13.14867,2348070672316,115,185,189,76,61,33,111,204,15,86,40,159,159,225,91
WHARTON BUSINESS SOLUTIONS,North East,Bauchi,Fresh Stores,RET-NOR-4178,"22 Market Street, Bauchi",10.309818,9.858762,2348298842416,220,156,112,47,49,128,207,111,102,22,15,39,91,58,182
WHARTON BUSINESS SOLUTIONS,North East,Maiduguri,Unity Center,RET-NOR-7101,"47 Allen Street, Maiduguri",11.845807,13.142048,2347985334788,131,82,240,143,227,102,55,76,60,160,235,20,154,106,246
WHARTON BUSINESS SOLUTIONS,North East,Jalingo,Market Hub,RET-NOR-5769,"41 Palm Street, Jalingo",8.879416,11.360627,2347879347524,108,71,139,126,40,12,250,191,64,17,98,154,183,234,195
WHARTON BUSINESS SOLUTIONS,North East,Jalingo,Royal Shop,RET-NOR-6525,"36 Kings Street, Jalingo",8.884036,11.345848,2347647436774,68,183,158,110,167,99,215,142,113,97,250,139,94,96,61
WHARTON BUSINESS SOLUTIONS,North East,Yola,Value Bazaar,RET-NOR-9300,"148 Kings Street, Yola",9.211423,12.479522,2348010107307,34,182,247,235,26,55,93,120,126,180,226,68,162,139,72
WHARTON BUSINESS SOLUTIONS,North East,Yola,Elite Supermarket,RET-NOR-7182,"116 Allen Street, Yola",9.22301,12.477676,2347593497324,99,106,131,37,51,41,105,27,19,187,75,221,192,54,241
WHARTON BUSINESS SOLUTIONS,North East,Jalingo,Royal Outlet,RET-NOR-4063,"61 Allen Street, Jalingo",8.880848,11.361388,2347935288733,105,88,42,146,120,106,141,16,249,11,59,113,200,104,214
WHARTON BUSINESS SOLUTIONS,North East,Bauchi,Value Stores,RET-NOR-8144,"116 Commercial Street, Bauchi",10.324264,9.840301,2348759919102,111,174,36,112,140,182,111,57,148,25,92,60,100,71,203
WHARTON BUSINESS SOLUTIONS,North East,Bauchi,Urban Center,RET-NOR-1599,"16 Commercial Street, Bauchi",10.310773,9.829914,2348753750364,176,24,150,83,118,119,42,233,118,201,228,49,174,241,116
WHARTON BUSINESS SOLUTIONS,North East,Maiduguri,Value Bazaar,RET-NOR-2602,"131 Kings Street, Maiduguri",11.814865,13.144519,2347913111676,59,205,248,158,189,101,146,54,180,167,208,35,227,28,82
WHARTON BUSINESS SOLUTIONS,North East,Bauchi,Elite Stores,RET-NOR-7723,"52 Unity Street, Bauchi",10.324556,9.83554,2347838922664,150,91,165,68,235,249,98,40,239,172,146,120,172,32,134
WHARTON BUSINESS SOLUTIONS,North East,Jalingo,Top Bazaar,RET-NOR-6864,"62 Unity Street, Jalingo",8.878438,11.348874,2347701715835,200,119,162,65,229,229,108,242,152,192,243,185,226,46,137
WHARTON BUSINESS SOLUTIONS,North East,Bauchi,Elite Mart,RET-NOR-5671,"51 Unity Street, Bauchi",10.317441,9.859513,2347941252521,234,69,198,116,82,109,107,100,104,32,183,72,37,198,169
WHARTON BUSINESS SOLUTIONS,North East,Bauchi,Prime Center,RET-NOR-5292,"138 Allen Street, Bauchi",10.322078,9.825336,2348402586405,57,167,77,98,28,230,102,83,97,233,214,57,56,242,48
WHARTON BUSINESS SOLUTIONS,North East,Bauchi,Top Outlet,RET-NOR-3784,"73 Broad Street, Bauchi",10.315283,9.860398,2347264743168,100,102,46,125,81,204,167,217,77,243,107,55,98,38,117
WHARTON BUSINESS SOLUTIONS,North East,Jalingo,Smart Hub,RET-NOR-3848,"73 Allen Street, Jalingo",8.913211,11.376971,2347216505396,116,21,160,214,91,226,244,71,115,66,122,45,104,65,157
WHARTON BUSINESS SOLUTIONS,North East,Jalingo,Royal Stores,RET-NOR-8661,"21 Palm Street, Jalingo",8.910194,11.353341,2348165351808,40,226,95,193,139,193,35,48,203,38,212,155,50,222,97
WHARTON BUSINESS SOLUTIONS,North East,Yola,Unity Mart,RET-NOR-9056,"125 Market Street, Yola",9.2,12.462892,2347014668992,126,173,103,113,174,209,169,68,139,34,50,45,173,22,129
WHARTON BUSINESS SOLUTIONS,North East,Bauchi,Unity Mart,RET-NOR-8274,"35 Market Street, Bauchi",10.309067,9.844082,2347572961897,135,182,205,242,226,229,41,17,45,232,171,113,114,249,114
WHARTON BUSINESS SOLUTIONS,North East,Jalingo,Elite Corner,RET-NOR-4050,"113 Unity Street, Jalingo",8.878136,11.358727,2347963381161,236,171,213,123,24,242,67,16,241,176,93,201,42,100,244
WHARTON BUSINESS SOLUTIONS,North East,Yola,Best Retail,RET-NOR-7681,"129 Palm Street, Yola",9.224636,12.475054,2347158311962,61,218,220,27,53,131,20,116,169,147,215,177,14,108,29
WHARTON BUSINESS SOLUTIONS,North East,Bauchi,City Stores,RET-NOR-5056,"18 Allen Street, Bauchi",10.312905,9.840861,2347778000485,229,66,111,176,37,189,163,214,64,204,96,130,97,130,75
WHARTON BUSINESS SOLUTIONS,North East,Bauchi,City Retail,RET-NOR-7280,"29 Allen Street, Bauchi",10.334967,9.843583,2348050239334,138,50,168,52,118,64,152,62,94,83,11,137,12,25,42
WHARTON BUSINESS SOLUTIONS,North East,Maiduguri,Smart Supermarket,RET-NOR-2169,"3 Kings Street, Maiduguri",11.847793,13.147936,2348641194263,98,102,155,50,200,124,160,16,223,71,32,248,122,127,82
WHARTON BUSINESS SOLUTIONS,North East,Bauchi,Daily Stores,RET-NOR-7711,"72 Unity Street, Bauchi",10.322216,9.844228,2347311381080,108,237,109,198,51,11,27,106,30,199,176,103,105,49,165
WHARTON BUSINESS SOLUTIONS,North East,Maiduguri,Mega Center,RET-NOR-8630,"119 Palm Street, Maiduguri",11.835256,13.169765,2347256982582,153,239,162,86,236,158,208,232,58,203,177,204,80,147,97
WHARTON BUSINESS SOLUTIONS,North East,Jalingo,Choice Mart,RET-NOR-6962,"97 Allen Street, Jalingo",8.907601,11.359976,2347769513022,210,171,181,63,19,214,65,88,243,140,240,214,50,181,80
WHARTON BUSINESS SOLUTIONS,North East,Jalingo,Top Mart,RET-NOR-7641,"29 Allen Street, Jalingo",8.91092,11.378349,2348520869176,162,63,108,127,114,138,181,220,215,213,33,190,10,148,80
WHARTON BUSINESS SOLUTIONS,North East,Maiduguri,Value Outlet,RET-NOR-6096,"42 Market Street, Maiduguri",11.824585,13.145875,2347213412808,27,146,178,49,123,114,157,168,228,181,99,84,124,67,115
WHARTON BUSINESS SOLUTIONS,North East,Bauchi,Unity Supermarket,RET-NOR-6147,"2 Allen Street, Bauchi",10.316509,9.845655,2347733955723,48,151,70,190,174,214,70,107,171,111,136,35,27,135,222
WHARTON BUSINESS SOLUTIONS,North East,Jalingo,Express Bazaar,RET-NOR-8809,"99 Palm Street, Jalingo",8.894964,11.345994,2348476898973,31,247,185,45,223,61,234,105,196,164,71,191,177,35,39
WHARTON BUSINESS SOLUTIONS,North East,Maiduguri,Elite Shop,RET-NOR-2664,"108 Broad Street, Maiduguri",11.843476,13.151176,2347018669936,98,180,186,84,101,220,85,29,58,50,174,244,142,61,60
WHARTON BUSINESS SOLUTIONS,North East,Jalingo,Top Retail,RET-NOR-7461,"75 Kings Street, Jalingo",8.887774,11.372787,2348833123198,133,209,250,14,172,40,38,192,187,78,183,112,57,221,71
WHARTON BUSINESS SOLUTIONS,North East,Yola,Mega Outlet,RET-NOR-7960,"138 Commercial Street, Yola",9.213572,12.489624,2349040637790,187,178,61,26,226,244,59,155,25,179,176,142,137,24,222
WHARTON BUSINESS SOLUTIONS,North East,Maiduguri,Unity Mart,RET-NOR-6820,"91 Kings Street, Maiduguri",11.850817,13.144749,2347100059062,66,82,162,139,231,36,222,225,106,191,239,194,161,62,131
WHARTON BUSINESS SOLUTIONS,North East,Maiduguri,City Outlet,RET-NOR-8573,"28 Kings Street, Maiduguri",11.819151,13.143165,2348649240768,12,61,232,41,223,70,49,204,95,57,132,137,219,171,198
WHARTON BUSINESS SOLUTIONS,North East,Bauchi,Elite Mart,RET-NOR-7574,"101 Allen Street, Bauchi",10.329966,9.852848,2349004645760,124,32,234,141,152,46,25,114,135,54,20,105,59,53,80
WHARTON BUSINESS SOLUTIONS,North East,Maiduguri,Express Supermarket,RET-NOR-6844,"147 Broad Street, Maiduguri",11.821553,13.142533,2348901890149,19,148,204,163,156,213,124,26,212,97,175,56,148,35,89
WHARTON BUSINESS SOLUTIONS,North East,Maiduguri,Best Retail,RET-NOR-2010,"3 Unity Street, Maiduguri",11.850262,13.145497,2348894079363,29,242,209,120,221,225,163,67,182,97,163,27,28,25,42
WHARTON BUSINESS SOLUTIONS,North East,Maiduguri,Value Shop,RET-NOR-9958,"53 Palm Street, Maiduguri",11.845587,13.15068,2348899184345,108,229,243,250,223,108,59,160,197,131,185,14,173,53,198
WHARTON BUSINESS SOLUTIONS,North East,Bauchi,Express Corner,RET-NOR-1623,"133 Kings Street, Bauchi",10.306626,9.828847,2348182088980,119,212,157,94,33,110,46,109,174,220,28,86,148,34,160
WHARTON BUSINESS SOLUTIONS,North East,Jalingo,Choice Bazaar,RET-NOR-8555,"31 Allen Street, Jalingo",8.912417,11.374328,2347720916103,47,116,236,249,225,88,183,217,126,16,19,43,96,177,59
WHARTON BUSINESS SOLUTIONS,North East,Maiduguri,Green Center,RET-NOR-2668,"91 Palm Street, Maiduguri",11.852956,13.137843,2347172155333,119,51,117,111,235,64,248,75,40,164,16,28,51,92,127
LOBIC GLOBAL MERCHANTILE COY,South East,Onitsha,Value Shop,RET-SOU-9277,"139 Kings Street, Onitsha",6.157453,6.796582,2349034736410,39,84,129,127,182,183,188,55,222,250,80,192,11,218,142
LOBIC GLOBAL MERCHANTILE COY,South East,Aba,City Supermarket,RET-SOU-8121,"58 Commercial Street, Aba",5.104747,7.380344,2348507749252,67,92,159,111,11,79,180,137,149,182,231,17,32,203,150
LOBIC GLOBAL MERCHANTILE COY,South East,Aba,Elite Supermarket,RET-SOU-6562,"134 Unity Street, Aba",5.103217,7.373612,2348693736175,49,101,103,32,182,85,165,105,141,210,82,75,212,239,110
LOBIC GLOBAL MERCHANTILE COY,South East,Awka,City Corner,RET-SOU-6213,"24 Market Street, Awka",6.218064,7.075197,2347492935957,78,96,20,12,189,218,106,77,105,137,80,201,157,144,231
LOBIC GLOBAL MERCHANTILE COY,South East,Enugu,Express Corner,RET-SOU-8603,"74 Broad Street, Enugu",6.454141,7.545226,2347018517693,237,162,61,100,116,77,187,56,10,21,99,219,221,41,145
LOBIC GLOBAL MERCHANTILE COY,South East,Umuahia,Elite Hub,RET-SOU-7346,"112 Broad Street, Umuahia",5.520099,7.469129,2347978622024,244,92,187,222,46,231,65,223,237,23,195,170,133,228,208
LOBIC GLOBAL MERCHANTILE COY,South East,Enugu,Unity Supermarket,RET-SOU-1579,"71 Unity Street, Enugu",6.474673,7.537069,2347026381936,183,184,143,178,85,111,111,175,74,78,119,117,50,19,215
LOBIC GLOBAL MERCHANTILE COY,South East,Owerri,Market Shop,RET-SOU-1938,"38 Commercial Street, Owerri",5.490549,7.040129,2348707604688,137,76,16,84,206,204,180,15,59,191,58,66,154,157,119
LOBIC GLOBAL MERCHANTILE COY,South East,Onitsha,Daily Retail,RET-SOU-5075,"45 Kings Street, Onitsha",6.135962,6.768534,2347369375296,86,104,147,17,201,177,57,75,66,219,205,90,68,236,87
